ra,dec,X,Y
"15:50:17.547","+02:11:47.43",2226.36,2874.23
"15:50:48.965","+04:28:39.83",2848.19,3249.22
"15:44:16.074","+06:25:32.27",3560.21,3439.1
"15:45:23.479","+05:26:50.35",3332.37,3301.44
